,user_id,book_id,rating
2,7659,2797,5
10,11302,2797,4
27,23695,2797,5
29,24627,2797,3
33,26542,2797,5
41,30391,2797,5
45,31881,2797,2
49,30982,2797,5
51,19156,2797,2
53,34371,2797,3
54,34995,2797,5
61,35202,2797,4
65,38759,2797,3
66,38772,2797,3
67,38718,2797,5
69,39840,2797,5
70,40109,2797,5
75,40412,2797,4
80,41519,2797,2
98,44378,2797,4
102,45447,2797,5
107,46738,2797,5
108,46346,2797,5
111,47330,2797,5
112,32531,2797,5
116,48006,2797,2
125,49872,2797,3
127,50105,2797,5
131,51445,2797,2
140,53136,2797,2
142,53330,2797,4
149,29787,2886,3
153,14765,2886,5
154,38482,2886,3
155,21345,2886,3
158,12374,2886,4
164,42973,2886,5
168,33626,2886,3
175,5803,2886,3
182,42808,2886,4
183,14600,2886,5
184,16045,2886,5
194,40541,2886,5
196,48514,2886,4
198,4162,2886,4
200,48842,2886,3
210,50013,2886,4
224,50688,2886,4
244,43094,2886,4
246,13154,2886,4
264,50754,2886,3
274,11932,2886,3
277,53192,2886,5
278,46991,2886,4
288,46832,2886,4
294,6344,2886,3
298,12325,2886,4
303,32513,2886,5
315,14782,2886,4
323,30423,2966,4
328,5994,2966,3
333,20497,2966,5
337,29391,2966,4
339,34382,2966,3
352,31144,2966,5
353,31186,2966,5
369,166,2966,4
371,27169,2966,3
373,44940,2966,3
374,39095,2966,5
377,13130,2966,5
387,46636,2966,4
395,47345,2966,2
400,39541,2966,4
410,48205,2966,5
419,48684,2966,5
432,49874,2966,3
439,12019,2966,5
448,40532,2966,3
458,52240,2966,5
465,52367,2966,4
466,10947,2966,2
477,48514,2966,4
484,51345,2966,5
503,17720,3181,3
506,19206,3181,5
511,20868,3181,5
517,21690,3181,3
523,23621,3181,5
532,26582,3181,3
533,22908,3181,4
545,31528,3181,3
548,33620,3181,5
551,34300,3181,5
552,34371,3181,2
554,34952,3181,2
557,35609,3181,5
563,12854,3181,5
567,32079,3181,5
572,38718,3181,5
582,41519,3181,2
590,42643,3181,4
599,24088,3181,5
607,45447,3181,5
613,46738,3181,5
619,32531,3181,5
620,48006,3181,2
625,21914,3181,5
628,44040,3181,4
631,49076,3181,4
635,49872,3181,4
