book_id,books_count,isbn,authors,original_publication_year,original_title,language_code,rating_count,average_rating,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5
4529,36,067002497X,"Philip Pullman, Jacob Grimm, Wilhelm Grimm",2012.0,Grimm Tales for Young and Old,eng,35,4.09,0,0,9,14,12
4707,25,60987464,"Marilyn Manson, Neil Strauss",1998.0,The Long Hard Road Out of Hell,eng,29,3.62,1,3,8,11,6
4732,21,1416527265,Hester Browne,2005.0,The Little Lady Agency,eng,34,3.62,1,3,9,16,5
4963,64,552150215,John Katzenbach,2002.0,The Analyst,eng,22,3.86,1,1,5,8,7
5280,26,62295896,Kim Gordon,2015.0,Girl in a Band,eng,20,3.45,2,2,4,9,3
5399,45,067974472X,"James     Baldwin, Kıvanç Güney",1963.0,The Fire Next Time,eng,38,4.39,0,1,3,14,20
5819,63,1471110672,Tom Rob Smith,2014.0,The Farm,eng,32,3.62,1,2,11,12,6
5822,95,316044776,"Carlos Ruiz Zafón, Lucia Graves",1986.0,El príncipe de la niebla,eng,24,3.67,0,3,8,7,6
5994,51,9580469717,Carlos Fuentes,1962.0,Aura,eng,24,3.71,1,2,7,7,7
6025,85,752852612,Dashiell Hammett,1929.0,Red Harvest,eng,37,3.97,0,2,8,16,11
6076,71,440240948,Conn Iggulden,2002.0,The Gates of Rome,eng,34,3.94,1,1,7,15,10
6241,36,1101875100,Patti Smith,2015.0,M Train,eng,27,3.78,0,4,4,13,6
6283,43,99468387,Ian McEwan,1978.0,The Cement Garden,eng,41,3.63,1,2,14,18,6
6295,27,143036424,Craig Johnson,2004.0,The Cold Dish,eng,30,3.9,0,0,7,19,4
6300,46,552772291,Madeleine Wickham,2001.0,Sleeping Arrangements,eng,30,3.5,1,5,8,10,6
6399,71,6178715,Sidney Sheldon,1992.0,The Stars Shine Down,eng,34,3.38,1,1,19,10,3
6494,26,425240169,Julie James,2011.0,A Lot Like Love,eng,33,4.06,0,1,5,18,9
6544,33,307381757,Michelle Moran,2008.0,The Heretic Queen,eng,33,3.97,0,1,8,15,9
6564,38,446556246,Sebastian Junger,2010.0,WAR,eng,26,4.0,0,1,6,11,8
6571,41,399256199,John Flanagan,2011.0,The Outcasts,eng,30,4.03,0,2,6,11,11
6673,37,345379071,David Gemmell,1986.0,Waylander ,eng,29,4.07,0,2,3,15,9
6770,32,60875070,Heather O'Neill,2006.0,Lullabies for Little Criminals,eng,24,3.75,1,1,7,9,6
